Date,NASDAQ,FTSE,NIKKEI,DAX,STI
24/10/2013,0.0056,0.0058,0.0042,0.0068,0.0041
23/10/2013,-0.0057,-0.0032,-0.0195,-0.0031,-0.0017
22/10/2013,0.0024,0.0062,0.0013,0.0090,0.0045
21/10/2013,0.0015,0.0048,0.0091,0.0002,0.0009
18/10/2013,0.0132,0.0071,-0.0017,0.0060,0.0020
17/10/2013,0.0062,0.0007,0.0083,-0.0038,0.0040
16/10/2013,0.0120,0.0034,0.0018,0.0047,-0.0025
15/10/2013,-0.0056,0.0064,0.0026,0.0092,-0.0019
14/10/2013,0.0062,0.0032,0.0000,-0.0001,-0.0045
11/10/2013,0.0083,0.0088,0.0148,0.0045,0.0031
10/10/2013,0.0226,0.0146,0.0112,0.0199,0.0048
09/10/2013,-0.0046,-0.0044,0.0103,-0.0046,0.0027
08/10/2013,-0.0200,-0.0111,0.0030,-0.0042,0.0032
07/10/2013,-0.0098,-0.0026,-0.0122,-0.0036,-0.0005
04/10/2013,0.0089,0.0008,-0.0094,0.0029,-0.0021
03/10/2013,-0.0107,0.0018,-0.0009,-0.0037,-0.0025
02/10/2013,-0.0008,-0.0035,-0.0217,-0.0069,-0.0091
01/10/2013,0.0123,-0.0003,0.0020,0.0110,0.0043
30/09/2013,-0.0027,-0.0078,-0.0206,-0.0077,-0.0132
27/09/2013,-0.0015,-0.0081,-0.0026,-0.0003,0.0050
26/09/2013,0.0070,0.0022,0.0122,-0.0002,-0.0044
25/09/2013,-0.0019,-0.0030,-0.0076,0.0001,-0.0010
24/09/2013,0.0008,0.0022,-0.0007,0.0034,-0.0008
23/09/2013,-0.0025,-0.0059,0.0000,-0.0047,-0.0072
20/09/2013,-0.0039,-0.0044,-0.0016,-0.0021,-0.0044
19/09/2013,0.0015,0.0102,0.0180,0.0067,0.0181
18/09/2013,0.0101,-0.0017,0.0135,0.0045,0.0041
17/09/2013,0.0075,-0.0080,-0.0130,-0.0019,0.0005
16/09/2013,-0.0012,0.0059,-0.0009,0.0122,0.0190
13/09/2013,0.0017,-0.0008,0.0012,0.0018,-0.0002
12/09/2013,-0.0024,0.0001,-0.0026,-0.0002,0.0041
11/09/2013,-0.0011,0.0007,0.0001,0.0058,-0.0050
10/09/2013,0.0062,0.0082,0.0154,0.0206,0.0116
09/09/2013,0.0126,-0.0025,0.0248,0.0001,0.0131
06/09/2013,0.0003,0.0023,-0.0145,0.0049,0.0029
05/09/2013,0.0027,0.0089,0.0008,0.0048,0.0080
04/09/2013,0.0101,0.0010,0.0054,0.0019,-0.0129
03/09/2013,0.0063,0.0087,0.0440,0.0096,0.0085
30/08/2013,-0.0084,-0.0108,-0.0053,-0.0112,-0.0030
29/08/2013,0.0075,0.0082,0.0091,0.0045,0.0113
28/08/2013,0.0041,-0.0017,-0.0151,-0.0103,-0.0098
27/08/2013,-0.0216,-0.0054,-0.0069,-0.0228,-0.0163
26/08/2013,-0.0001,0.0085,-0.0018,0.0022,-0.0014
23/08/2013,0.0052,0.0070,0.0221,0.0023,-0.0002
22/08/2013,0.0108,0.0088,-0.0044,0.0136,-0.0063
21/08/2013,-0.0038,-0.0097,0.0021,-0.0018,-0.0063
20/08/2013,0.0068,-0.0019,-0.0263,-0.0079,-0.0140
19/08/2013,-0.0038,-0.0053,0.0079,-0.0031,-0.0076
16/08/2013,-0.0009,0.0026,-0.0075,0.0019,-0.0073
15/08/2013,-0.0172,-0.0158,-0.0212,-0.0073,-0.0085
14/08/2013,-0.0041,-0.0037,0.0132,0.0027,0.0014
13/08/2013,0.0039,0.0057,0.0257,0.0068,0.0037
12/08/2013,0.0027,-0.0014,-0.0070,0.0025,0.0007
09/08/2013,-0.0025,0.0082,0.0007,0.0024,0.0000
08/08/2013,0.0041,0.0028,-0.0159,0.0070,0.0000
07/08/2013,-0.0032,-0.0141,-0.0400,-0.0047,0.0016
06/08/2013,-0.0074,-0.0023,0.0100,-0.0117,-0.0052
05/08/2013,0.0009,-0.0043,-0.0144,-0.0010,-0.0038
02/08/2013,0.0038,-0.0051,0.0329,-0.0005,0.0033
01/08/2013,0.0136,0.0092,0.0247,0.0163,0.0066
31/07/2013,0.0027,0.0076,-0.0145,0.0006,-0.0072
30/07/2013,0.0048,0.0016,0.0153,0.0015,0.0026
29/07/2013,-0.0039,0.0008,-0.0332,0.0017,0.0003
26/07/2013,0.0022,-0.0050,-0.0297,-0.0065,0.0001
25/07/2013,0.0071,-0.0049,-0.0114,-0.0096,-0.0119
